name,state_previous,state_current,state_since,status,id,title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank
The Adventures of Robin Hood (en),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,326494,The Adventures of Robin Hood,2021,Best with 2 players,Recommended with 1–4 players,7.471,4337,751
The Fox in the Forest,Available,Available,2024-12-21 14:48:19,No Change,221965,The Fox in the Forest,2017,Best with 2 players,Recommended with 2 players,7.08443,16487,611
The Guild of Merchant Explorers,Available,Available,2024-12-21 14:48:19,No Change,350933,The Guild of Merchant Explorers,2022,Best with 2 players,Recommended with 1–4 players,7.68638,5376,424
The King Is Dead: Second Edition,Available,Available,2024-12-21 14:48:19,No Change,319966,The King Is Dead: Second Edition,2020,Best with 3 players,Recommended with 2–4 players,7.63002,7419,346
The Lord of the Rings Adventure Book Game,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,379005,The Lord of the Rings Adventure Book Game,2023,Best with 2 players,Recommended with 1–2 players,7.19358,783,3440
The Witcher: Old World (SV),Available,Available,2024-12-21 14:48:19,No Change,331106,The Witcher: Old World,2023,Best with 2–3 players,Recommended with 1–3 players,7.95607,6662,353
Ticket to Ride: Europe,Available,Available,2024-12-21 14:48:19,No Change,14996,Ticket to Ride: Europe,2005,Best with 4 players,Recommended with 2–5 players,7.52751,78745,169
Tiletum,Available,Available,2024-12-21 14:48:19,No Change,351913,Tiletum,2022,Best with 2–3 players,Recommended with 1–3 players,7.89636,5476,306
Unlock! Escape Adventures (eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,213460,Unlock!: Escape Adventures,2017,Best with 2 players,Recommended with 1–4 players,7.34782,6632,Not Ranked
Unlock! Escape Adventures (sv),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,213460,Unlock!: Escape Adventures,2017,Best with 2 players,Recommended with 1–4 players,7.34782,6632,Not Ranked
Unlock! Kids: Detective Stories (sv),Available,Available,2024-12-21 14:48:19,No Change,327056,Unlock! Kids: Detective Stories,2021,Best with 2 players,Recommended with 1–2 players,7.70719,979,2090
Unmatched Battle Of Legends Volume One,Available,Available,2024-12-21 14:48:19,No Change,274637,"Unmatched: Battle of Legends, Volume One",2019,Best with 2 players,"Recommended with 2, 4 players",7.72162,9579,265
Unmatched Jurassic Park; Dr. Sattler vs. T. Rex,Available,Available,2024-12-21 14:48:19,No Change,284778,Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex,2022,Best with 2 players,Recommended with 2 players,8.04603,1406,1351
Unmatched: Brains and Brawn,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,383467,Unmatched: Brains and Brawn,2023,Best with 2 players,Recommended with 2–3 players,8.32425,651,2477
Votes For Women,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,32824,Panko or Votes for Women,1910,,(no votes),0.0,0,Not Ranked
War Chest,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,249259,War Chest,2018,Best with 2 players,"Recommended with 2, 4 players",7.83936,10715,184
Wavelength (sv + eng),Unavailable,Unavailable,2024-12-21 14:48:19,No Change,262543,Wavelength,2019,"Best with 6, 8 players",Recommended with 4–12 players,7.25461,14637,473
What Do You Meme? Recently Refreshed,Unavailable,Unavailable,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
Witchstone,Available,Available,2024-12-21 14:48:19,No Change,318560,Witchstone,2021,Best with 3 players,Recommended with 2–4 players,7.53555,3454,809
World Wonders,Available,Available,2024-12-21 14:48:19,No Change,365258,World Wonders,2023,Best with 3 players,Recommended with 1–4 players,7.63143,4577,581
Årtalsmästarna,Available,Available,2024-12-21 14:48:19,No Change,Unknown,,,,,,,
