title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,id
Maquis,2013,Best with 1 players,Recommended with 1 players,7.4576,3969,813,148729
Marabunta,2023,Best with 2 players,Recommended with 2 players,7.51882,737,2953,403265
Mille Fiori,2021,Best with 4 players,Recommended with 3–4 players,7.42545,4380,745,346501
Mini Rogue,2020,Best with 1 players,Recommended with 1–2 players,7.36867,2753,1292,311715
Monikers: Classics,2019,Best with 8–12 players,Recommended with 6–16 players,8.16109,258,Not Ranked,283151
Monolyth,2022,Best with 2 players,Recommended with 1–4 players,7.03693,380,5480,373759
Mosaic: A Story of Civilization,2022,Best with 4 players,Recommended with 3–5 players,7.51561,4206,718,329551
Munchkin,2001,Best with 4 players,Recommended with 3–6 players,5.87263,50631,6043,1927
Anticipation,1987,Best with 4 players,Recommended with 3–4 players,5.73329,167,20075,3305
Nåt ska bort,2019,,(no votes),5.57143,7,Not Ranked,365429
No Thanks!,2004,Best with 4–5 players,Recommended with 3–7 players,7.07809,28130,520,12942
Pagan: Fate of Roanoke,2022,Best with 2 players,Recommended with 2 players,8.02019,2862,619,319910
Perspectives,2013,,(no votes),5.66667,3,Not Ranked,168325
Photosynthesis,2017,Best with 3 players,Recommended with 2–4 players,6.96204,24459,715,218603
Point City,2023,Best with 2 players,Recommended with 1–4 players,7.20972,3401,1168,368017
Port Royal: The Dice Game,2023,Best with 3 players,Recommended with 3–4 players,6.32889,139,11971,401779
Power Grid,2004,Best with 4–5 players,Recommended with 3–6 players,7.80621,66530,66,2651
Lätt och lagom,2004,,(no votes),4.22727,11,Not Ranked,25088
Qawale,2022,Best with 2 players,Recommended with 2 players,7.00944,779,3792,368465
Radlands,2021,Best with 2 players,Recommended with 2 players,7.81169,11538,191,329082
The Red Cathedral,2020,Best with 3 players,Recommended with 1–4 players,7.69195,13202,206,227224
Red Rising,2021,Best with 3 players,Recommended with 1–4 players,6.98971,8344,989,329465
Rhino Hero,2011,Best with 3 players,Recommended with 2–5 players,6.90324,11520,956,91514
Scout,1985,,(no votes),6.4,5,Not Ranked,26681
Sequence,1982,Best with 3–4 players,"Recommended with 2–4, 6 players",6.13545,10985,3362,2375
Dungeon Lords: Dungeon-Setup Tiles,2014,Best with 4 players,Recommended with 2–4 players,8.14435,62,Not Ranked,161730
Disney Robin Hood: Sheriff of Nottingham Game,2023,Best with 5 players,Recommended with 3–5 players,7.16044,113,10208,396607
Sherlock: Death on the 4th of July,2018,Best with 4 players,Recommended with 2–4 players,6.40488,965,4801,250779
Sherlock: The Tomb of the Archaeologist,2018,"Best with 2, 4 players",Recommended with 2–4 players,6.62543,1170,3738,247436
Sirens,2024,Best with 1–2 players,Recommended with 1–2 players,7.13856,153,11856,375616
Skyrockets: Festivals of Fire,2023,Best with 3 players,Recommended with 2–5 players,7.11637,282,6056,398684
Sleeping Queens,2005,Best with 4–5 players,Recommended with 2–5 players,6.4854,4839,2458,17053
Sobek: 2 Players,2021,Best with 2 players,Recommended with 2 players,7.1637,2509,1529,332944
Splendor Duel,2022,Best with 2 players,Recommended with 2 players,7.91832,13240,111,364073
Taco Back Goat Cheese Pizza,2020,Best with 6 players,Recommended with 2–8 players,6.92519,323,6484,341876
Takenoko,2011,Best with 3 players,Recommended with 2–4 players,7.20931,45646,403,70919
Terra Nova,2006,Best with 2 players,Recommended with 2–4 players,6.44161,1795,3457,20022
Terraforming Mars,2016,Best with 3 players,Recommended with 1–4 players,8.35311,102865,7,167791
The Adventures of Robin Hood,2021,Best with 2 players,Recommended with 1–4 players,7.47263,4347,751,326494
The Guild of Merchant Explorers,2022,Best with 2 players,Recommended with 1–4 players,7.68572,5387,424,350933
The King Is Dead: Second Edition,2020,Best with 3 players,Recommended with 2–4 players,7.63011,7427,345,319966
The Lord of the Rings Adventure Book Game,2023,Best with 2 players,Recommended with 1–2 players,7.19514,787,3429,379005
The Witcher: Old World,2023,Best with 2–3 players,Recommended with 1–3 players,7.95594,6677,353,331106
Ticket to Ride: Europe,2005,Best with 4 players,Recommended with 2–5 players,7.52762,78792,169,14996
Unlock!: Escape Adventures,2017,Best with 2 players,Recommended with 1–4 players,7.34752,6632,Not Ranked,213460
Unlock! Kids: Detective Stories,2021,Best with 2 players,Recommended with 1–2 players,7.70004,984,2090,327056
"Unmatched: Battle of Legends, Volume One",2019,Best with 2 players,"Recommended with 2, 4 players",7.72149,9593,265,274637
Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex,2022,Best with 2 players,Recommended with 2 players,8.04454,1408,1356,284778
Unmatched: Brains and Brawn,2023,Best with 2 players,Recommended with 2–3 players,8.31588,654,2474,383467
War Chest,2018,Best with 2 players,"Recommended with 2, 4 players",7.83912,10732,184,249259
Wavelength,2019,"Best with 6, 8 players",Recommended with 4–12 players,7.25423,14669,474,262543
Witchstone,2021,Best with 3 players,Recommended with 2–4 players,7.53415,3458,811,318560
World Wonders,2023,Best with 3 players,Recommended with 1–4 players,7.63187,4587,581,365258
