name,state_previous,state_current,state_since,status,id,title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,played,wishlist
Dungeon Mayhem: Monster Madness,Available,Available,2024-12-26 11:08:30,No Change,295577,Dungeon Mayhem: Monster Madness,2020.0,Best with 4 players,Recommended with 2–6 players,7.45128,1549.0,1970,False,False
Döttrar & Söner,Available,Available,2024-12-26 11:08:30,No Change,380656,Döttrar & Söner,2022.0,,(no votes),0.0,0.0,Not Ranked,False,False
Eldritch Horror,Available,Available,2025-01-27 08:46:43,No Change,146021,Eldritch Horror,2013.0,Best with 4 players,Recommended with 1–6 players,7.74821,37250.0,122,False,False
Everdell (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,199792,Everdell,2018.0,Best with 3 players,Recommended with 1–4 players,8.0114,58349.0,38,False,True
Ex Libris 2nd. Edition,Available,Available,2025-01-16 17:02:50,No Change,Unknown,,,,,,,,False,False
Exit Kids: Gåtornas Djungel,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Exploding Kittens - Original Edition,Available,Available,2025-01-27 08:46:43,No Change,Unknown,,,,,,,,True,False
Famous Women Trivia Quiz,Available,Available,2025-01-20 09:57:43,No Change,Unknown,,,,,,,,False,False
Flamecraft,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,336986,Flamecraft,2022.0,Best with 3 players,Recommended with 1–5 players,7.41592,16443.0,377,False,False
Flamme Rouge,Available,Available,2024-12-26 11:08:30,No Change,199478,Flamme Rouge,2016.0,Best with 4 players,Recommended with 2–4 players,7.48691,18515.0,270,True,False
Flamme Rouge BMX (sv),Available,Available,2024-12-26 11:08:30,No Change,395256,Flamme Rouge BMX,2023.0,Best with 3–4 players,Recommended with 3–4 players,6.14576,59.0,18267,False,False
Foto Fish,Available,Available,2024-12-26 11:08:30,No Change,291550,Foto Fish,2020.0,Best with 2–3 players,Recommended with 2–4 players,6.41207,87.0,15738,False,False
Furnace,Available,Available,2024-12-26 11:08:30,No Change,318084,Furnace,2020.0,Best with 3–4 players,Recommended with 2–4 players,7.40593,11561.0,390,False,False
Galaxy Trucker,Available,Available,2025-01-07 15:48:29,No Change,31481,Galaxy Trucker,2007.0,Best with 4 players,Recommended with 2–4 players,7.3388,34678.0,287,False,False
Gateway Island,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,356999,Gateway Island,2022.0,Best with 2–5 players,Recommended with 1–12 players,7.51701,366.0,5202,False,False
Genotype,Available,Available,2024-12-26 11:08:30,No Change,252752,Genotype: A Mendelian Genetics Game,2021.0,Best with 3–4 players,Recommended with 1–5 players,7.46073,2363.0,1225,False,False
Grove: 9 Card Solitaire Game,Available,Available,2024-12-26 11:08:30,No Change,329873,Grove: 9 card solitaire game,2021.0,Best with 1 players,Recommended with 1 players,7.60539,2229.0,1136,False,False
Gå på Plankan (sv),Available,Available,2025-01-02 08:46:25,No Change,367771,Stomp the Plank,2022.0,Best with 4 players,Recommended with 2–4 players,6.92552,619.0,4343,False,False
Hansa Teutonica Big Box,Available,Available,2024-12-26 11:08:30,No Change,286749,Hansa Teutonica: Big Box,2020.0,Best with 5 players,Recommended with 3–5 players,8.37795,5919.0,Not Ranked,False,False
Harmonies,Available,Available,2025-01-24 11:43:30,No Change,414317,Harmonies,2024.0,Best with 2–3 players,Recommended with 1–4 players,8.01314,9388.0,143,False,False
Heckmeck Deluxe,Available,Available,2025-01-20 09:57:43,No Change,245200,Heckmeck Deluxe,2018.0,Best with 4 players,Recommended with 2–6 players,7.01334,841.0,Not Ranked,False,False
HerStory,Available,Available,2025-01-16 17:02:50,No Change,369436,HerStory,2022.0,Best with 3–4 players,Recommended with 2–5 players,6.7128,590.0,4944,False,False
Here to Slay,Available,Available,2024-12-26 11:08:30,No Change,299252,Here to Slay,2020.0,Best with 3–4 players,Recommended with 2–5 players,6.89981,6880.0,1474,False,False
Hint Go (sv),Available,Available,2024-12-26 11:08:30,No Change,165628,HINT,2014.0,"Best with 6, 8 players",Recommended with 4–10 players,6.6507,474.0,6352,False,False
Hissy Fit,Available,Available,2025-01-16 17:02:50,No Change,371333,Hissy Fit,2024.0,Best with 2 players,Recommended with 1–4 players,7.16587,104.0,10587,False,False
Hive Pocket (Gen42 only Edition),Available,Available,2025-01-16 17:02:50,No Change,154597,Hive Pocket,2010.0,Best with 2 players,Recommended with 2 players,7.69581,13560.0,Not Ranked,False,False
Honey Buzz,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,284742,Honey Buzz,2020.0,Best with 3 players,Recommended with 1–4 players,7.54323,7042.0,442,False,False
Horizons of Spirit Island,Unavailable,Unavailable,2025-01-07 15:48:29,No Change,367498,Horizons of Spirit Island,2022.0,Best with 2 players,Recommended with 1–3 players,8.17992,2355.0,641,True,True
Horrified,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,282524,Horrified,2019.0,Best with 3 players,Recommended with 1–5 players,7.6277,17549.0,213,True,False
Idiotkunskap,,,2025-01-16 17:02:50,Removed,125083,Things They Don't Teach You in School,2010.0,Best with 4 players,Recommended with 4 players,4.24286,70.0,26809,False,False
Imagine,Unavailable,Unavailable,2025-01-27 08:46:43,No Change,191894,Imagine,2015.0,Best with 4–6 players,Recommended with 3–8 players,6.82916,4352.0,1621,False,False
Jaws,Available,Available,2025-01-16 17:02:50,No Change,7563,Jaws,1975.0,Best with 2 players,Recommended with 2–4 players,4.88636,132.0,26874,False,False
Jekyll & Hyde vs Scotland Yard,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,377793,Jekyll & Hyde vs Scotland Yard,2023.0,Best with 2 players,Recommended with 2 players,7.42255,565.0,3731,False,False
Joking Hazard,Available,Available,2025-01-20 09:57:43,No Change,193621,Joking Hazard,2016.0,Best with 5 players,Recommended with 3–7 players,6.24843,6200.0,3114,False,False
Just one (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,180694,Cocks Abreast Hostility: Cock Pack One – Just the Tip,2015.0,,(no votes),7.8125,8.0,Not Ranked,False,True
Karak,Available,Available,2024-12-26 11:08:30,No Change,241477,Karak,2017.0,Best with 3–4 players,Recommended with 2–5 players,7.19373,3274.0,1430,False,False
King of Tokyo (sv),Available,Available,2025-01-16 17:02:50,No Change,70323,King of Tokyo,2011.0,Best with 4–5 players,Recommended with 3–6 players,7.12716,72438.0,444,False,False
Kluster,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,277458,Kluster,2018.0,Best with 3 players,Recommended with 2–4 players,6.64165,3227.0,2252,False,False
Kurragömma i Safariparken,Available,Available,2024-12-26 11:08:30,No Change,420073,Kurragömma i Safariparken,2020.0,,(no votes),7.5,1.0,Not Ranked,False,False
Kurragömma på Bondgården,,,2025-01-16 17:02:50,Removed,Unknown,,,,,,,,False,False
Land Vs Sea,Available,Available,2024-12-26 11:08:30,No Change,336929,Land vs Sea,2021.0,Best with 2 players,Recommended with 2–4 players,7.11099,2473.0,1607,False,False
Leaf,Available,Available,2024-12-26 11:08:30,No Change,368676,Leaf,2023.0,Best with 3 players,Recommended with 1–4 players,7.43969,898.0,2794,False,False
Lofoten,Available,Available,2024-12-26 11:08:30,No Change,361905,Lofoten,2022.0,Best with 2 players,Recommended with 2 players,6.60937,392.0,6740,False,False
London 2nd Edition,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Long Shot The Dice Game,Available,Available,2024-12-26 11:08:30,No Change,295374,Long Shot: The Dice Game,2022.0,Best with 4–5 players,Recommended with 1–8 players,7.60626,8527.0,321,False,False
Lost Cities,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,50,Lost Cities,1999.0,Best with 2 players,Recommended with 2 players,7.24615,47818.0,333,False,False
Magic Maze,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,209778,Magic Maze,2017.0,Best with 4 players,Recommended with 2–6 players,6.94894,22361.0,729,False,False
Mandala,Available,Available,2024-12-26 11:08:30,No Change,2991,Mandala,1983.0,Best with 3–4 players,Recommended with 2–4 players,5.69286,42.0,23535,False,False
Maquis,Available,Available,2024-12-26 11:08:30,No Change,148729,Maquis,2013.0,Best with 1 players,Recommended with 1 players,7.4576,3969.0,813,False,False
Marabunta,Unavailable,Unavailable,2025-01-07 15:48:29,No Change,403265,Marabunta,2023.0,Best with 2 players,Recommended with 2 players,7.51882,737.0,2953,False,False
Meadow,Available,Available,2025-01-16 17:02:50,No Change,314491,Meadow,2021.0,Best with 2 players,Recommended with 1–4 players,7.72706,11675.0,207,False,False
Mille Fiori,Available,Available,2024-12-26 11:08:30,No Change,346501,Mille Fiori,2021.0,Best with 4 players,Recommended with 3–4 players,7.42545,4380.0,745,False,False
Mini Rogue,Available,Available,2024-12-26 11:08:30,No Change,311715,Mini Rogue,2020.0,Best with 1 players,Recommended with 1–2 players,7.36867,2753.0,1292,False,False
Mio: Brädspelet,Available,Available,2024-12-26 11:08:30,No Change,339703,Mio: Brädspelet,2021.0,Best with 3–5 players,Recommended with 1–5 players,6.13571,28.0,Not Ranked,False,False
Mists over Carcassonne (sv),Unavailable,Unavailable,2025-01-20 09:57:43,No Change,358124,Mists over Carcassonne,2022.0,Best with 2 players,Recommended with 1–4 players,7.30891,2162.0,1527,False,False
Monikers Classic (eng),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,283151,Monikers: Classics,2019.0,Best with 8–12 players,Recommended with 6–16 players,8.16109,258.0,Not Ranked,False,False
Monolyth,Unavailable,Unavailable,2025-01-27 08:46:43,No Change,373759,Monolyth,2022.0,Best with 2 players,Recommended with 1–4 players,7.03693,380.0,5480,False,False
Mosaic A Story of Civilization,Unavailable,Unavailable,2025-01-07 15:48:29,No Change,329551,Mosaic: A Story of Civilization,2022.0,Best with 4 players,Recommended with 3–5 players,7.51561,4206.0,718,False,False
Munchkin Deluxe,Unavailable,Unavailable,2025-01-20 09:57:43,No Change,1927,Munchkin,2001.0,Best with 4 players,Recommended with 3–6 players,5.87263,50631.0,6043,False,False
Myretuen (Myrstacken),,,2025-01-16 17:02:50,Removed,3305,Anticipation,1987.0,Best with 4 players,Recommended with 3–4 players,5.73329,167.0,20075,False,False
Nexus Ops,Unavailable,Unavailable,2025-01-27 08:46:43,No Change,15363,Nexus Ops,2005.0,Best with 4 players,Recommended with 2–4 players,7.21097,9004.0,651,False,False
Noobs in Space,Available,Available,2024-12-26 11:08:30,No Change,376472,Noobs in Space,2023.0,Best with 4 players,Recommended with 3–5 players,7.13334,627.0,3880,False,False
Nåt Ska Bort,,,2025-01-16 17:02:50,Removed,365429,Nåt ska bort,2019.0,,(no votes),5.57143,7.0,Not Ranked,False,False
Oh S#!? (Oh Shit/ No Thanks!),Available,Available,2024-12-26 11:08:30,No Change,12942,No Thanks!,2004.0,Best with 4–5 players,Recommended with 3–7 players,7.07809,28130.0,520,False,False
Pagan: Fate of Roanoke,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,319910,Pagan: Fate of Roanoke,2022.0,Best with 2 players,Recommended with 2 players,8.02019,2862.0,619,False,False
Pandemic Hot Zone - Europe (sv),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Perspectives,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,168325,Perspectives,2013.0,,(no votes),5.66667,3.0,Not Ranked,False,False
Photosynthesis,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,218603,Photosynthesis,2017.0,Best with 3 players,Recommended with 2–4 players,6.96204,24459.0,715,False,False
Planet,Unavailable,Unavailable,2025-01-20 09:57:43,No Change,252929,Planet,2018.0,Best with 4 players,Recommended with 2–4 players,6.6528,5730.0,1697,False,False
Point City,Available,Available,2024-12-26 11:08:30,No Change,368017,Point City,2023.0,Best with 2 players,Recommended with 1–4 players,7.20972,3401.0,1168,False,False
Port Royal: The Dice Game,Available,Available,2024-12-26 11:08:30,No Change,401779,Port Royal: The Dice Game,2023.0,Best with 3 players,Recommended with 3–4 players,6.32889,139.0,11971,False,False
Power Grid Recharged (2nd Edition),Unavailable,Unavailable,2024-12-26 11:08:30,No Change,2651,Power Grid,2004.0,Best with 4–5 players,Recommended with 3–6 players,7.80621,66530.0,66,False,False
På 5 sekunder,,,2025-01-16 17:02:50,Removed,25088,Lätt och lagom,2004.0,,(no votes),4.22727,11.0,Not Ranked,False,False
Qawale,Available,Available,2024-12-26 11:08:30,No Change,368465,Qawale,2022.0,Best with 2 players,Recommended with 2 players,7.00944,779.0,3792,False,False
Quiznödig - Hemma,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Quiznödig - På Festen,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Race for the Galaxy,Available,Available,2024-12-26 11:08:30,No Change,28143,Race for the Galaxy,2007.0,Best with 2 players,Recommended with 2–4 players,7.7429,56498.0,81,False,False
Radlands,Available,Available,2025-01-16 17:02:50,No Change,329082,Radlands,2021.0,Best with 2 players,Recommended with 2 players,7.81169,11538.0,191,False,True
Red Cathedral,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,227224,The Red Cathedral,2020.0,Best with 3 players,Recommended with 1–4 players,7.69195,13202.0,206,False,False
Red Rising,Available,Available,2024-12-26 11:08:30,No Change,329465,Red Rising,2021.0,Best with 3 players,Recommended with 1–4 players,6.98971,8344.0,989,False,True
Rhino Hero,Unavailable,Unavailable,2025-01-20 09:57:43,No Change,91514,Rhino Hero,2011.0,Best with 3 players,Recommended with 2–5 players,6.90324,11520.0,956,False,False
Scout,Unavailable,Unavailable,2025-01-20 09:57:43,No Change,26681,Scout,1985.0,,(no votes),6.4,5.0,Not Ranked,False,False
Sea Salt & Paper,Unavailable,Unavailable,2024-12-26 11:08:30,No Change,367220,Sea Salt & Paper,2022.0,Best with 2 players,Recommended with 2–4 players,7.48647,12836.0,328,False,False
Sequence,Available,Available,2024-12-26 11:08:30,No Change,2375,Sequence,1982.0,Best with 3–4 players,"Recommended with 2–4, 6 players",6.13545,10985.0,3362,False,False
Set: The Family Game of Visual Perception,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
Setup (sv),Available,Available,2024-12-26 11:08:30,No Change,161730,Dungeon Lords: Dungeon-Setup Tiles,2014.0,Best with 4 players,Recommended with 2–4 players,8.14435,62.0,Not Ranked,False,False
Sheriff Of Nottingham (sv),Unavailable,Unavailable,2025-01-07 15:48:29,No Change,396607,Disney Robin Hood: Sheriff of Nottingham Game,2023.0,Best with 5 players,Recommended with 3–5 players,7.16044,113.0,10208,False,False
Sherlock: Death on The 4th of July,Available,Available,2024-12-26 11:08:30,No Change,250779,Sherlock: Death on the 4th of July,2018.0,Best with 4 players,Recommended with 2–4 players,6.40488,965.0,4801,False,False
Sherlock: The Tomb of The Archaeologist,Available,Available,2024-12-26 11:08:30,No Change,247436,Sherlock: The Tomb of the Archaeologist,2018.0,"Best with 2, 4 players",Recommended with 2–4 players,6.62543,1170.0,3738,False,False
Side Quest: Nemesis,Available,Available,2025-01-07 15:48:29,No Change,387538,Side Quest: Nemesis,2023.0,Best with 1–2 players,Recommended with 1–2 players,6.95891,258.0,7141,False,False
Sirens,Unavailable,Unavailable,2025-01-16 17:02:50,No Change,375616,Sirens,2024.0,Best with 1–2 players,Recommended with 1–2 players,7.13856,153.0,11856,False,False
Skyrockets Festivals of Fire,Available,Available,2024-12-26 11:08:30,No Change,398684,Skyrockets: Festivals of Fire,2023.0,Best with 3 players,Recommended with 2–5 players,7.11637,282.0,6056,False,False
Sleeping Queens,Available,Available,2024-12-26 11:08:30,No Change,17053,Sleeping Queens,2005.0,Best with 4–5 players,Recommended with 2–5 players,6.4854,4839.0,2458,False,False
Sobek: 2 Players,Available,Available,2024-12-26 11:08:30,No Change,332944,Sobek: 2 Players,2021.0,Best with 2 players,Recommended with 2 players,7.1637,2509.0,1529,False,False
Sonar Family,Available,Available,2025-01-16 17:02:50,No Change,259809,Sonar Family,2018.0,Best with 4 players,"Recommended with 2, 4 players",6.82695,737.0,4152,False,False
Splendor Duel (sv),Available,Available,2024-12-26 11:08:30,No Change,364073,Splendor Duel,2022.0,Best with 2 players,Recommended with 2 players,7.91832,13240.0,111,False,False
Spots,Available,Available,2024-12-26 11:08:30,No Change,16324,Spots,2000.0,,(no votes),4.0,2.0,Not Ranked,False,False
Star Realms Deckbuilding Game,Available,Available,2024-12-26 11:08:30,No Change,Unknown,,,,,,,,False,False
